,user_id
"8988787,",1
"8987888,",1
"8988557,",1
"8990732,",1
"8994402,",1
13270616,1
13094874,1
13168548,1
17111820,1
16891672,1
15329640,1
15110777,1
13370983,1
11504667,1
"9770868,",1
17707391,1
17246795,1
17147428,1
17109766,1
17109528,1
16759352,1
14339161,1
"1311370,",1
15916780,1
15564214,1
17888381,1
17543027,1
17542837,1
17542687,1
17483621,1
17117761,1
13048137,1
"1089807,",1
"1350878,",1
17136268,1
17702240,1
16379088,1
15769879,1
13373239,1
12419698,1
"8578521,",1
"5382657,",1
"5376580,",1
17339108,1
"5059637,",1
17338064,1
17280045,1
17279309,1
17022192,1
14969295,1
"8108887,",1
"5526884,",1
"5246598,",1
"3029477,",1
17420131,1
17011002,1
13089816,1
16928859,1
11391174,1
15927334,1
15430667,1
"9490832,",1
"9306526,",1
10322844,1
12650110,1
10448723,1
11052725,1
"9484552,",1
15589755,1
14281548,1
"8597387,",1
"6736199,",1
16354958,1
"8555434,",1
14974037,1
12719161,1
"9459308,",1
16850672,1
16576146,1
"9559816,",1
"9478371,",1
"8771012,",1
"4020363,",1
16609444,1
14564917,1
12490936,1
"6638787,",1
"5588752,",1
"5526667,",1
"5404859,",1
"4938676,",1
"4227139,",1
10520494,1
11139382,1
"8187099,",1
"8129734,",1
"6069077,",1
"9027751,",1
"9693084,",1
10255467,1
"8189431,",1
"9338463,",1
10366185,1
"6066933,",1
"8371226,",1
11105634,1
11679478,1
15441006,1
15352455,1
14965815,1
14587351,1
14577276,1
13756801,1
13734894,1
13712773,1
13699840,1
13695758,1
13685993,1
13650390,1
13627796,1
13598879,1
13473293,1
13449628,1
13398415,1
13198706,1
13196716,1
13162059,1
13036576,1
15465464,1
15530318,1
15888630,1
13573914,1
12860624,1
12847426,1
12837605,1
12835245,1
12833782,1
12826395,1
12724640,1
12724583,1
12724389,1
13159974,1
15989532,1
13138197,1
12739258,1
12718451,1
16908059,1
16900584,1
16840260,1
16778436,1
16560649,1
16109907,1
13012507,1
12999399,1
12972157,1
"9332586,",1
"6337262,",1
17542489,1
16602818,1
11724175,1
"8745922,",1
"8211824,",1
"8171750,",1
"9930165,",1
16036912,1
"8312756,",1
"8392619,",1
"7972399,",1
"7460333,",1
"8213869,",1
17111658,1
"7035948,",1
17246089,1
17201694,1
17111651,1
13963769,1
"7614966,",1
14969205,1
12971200,1
"7662559,",1
12923807,1
12880322,1
12874590,1
12847960,1
12833171,1
12831774,1
12829936,1
"6857709,",1
"9020228,",1
"7012871,",1
10397923,1
"8384360,",1
"9315164,",1
"7926137,",1
"7216479,",1
"9987229,",1
"5052518,",1
10093562,1
"7683656,",1
"7788307,",1
"7551661,",1
"7473720,",1
"2829860,",1
"6807139,",1
17683492,1
16459940,1
16046851,1
15928635,1
15703697,1
14761746,1
14667404,1
14590367,1
14509558,1
14232691,1
14163968,1
11954059,1
11891042,1
10834292,1
"9797838,",1
"8755876,",1
"6889950,",1
"6876484,",1
"6863742,",1
"6852674,",1
"6828538,",1
17689184,1
17703604,1
17841270,1
10110845,1
12071123,1
10521558,1
17309699,1
17066125,1
13717498,1
11079318,1
10834261,1
10656957,1
10247884,1
17588179,1
17909591,1
17438534,1
17282360,1
17231456,1
17195777,1
16403186,1
14676837,1
10412500,1
"6750259,",1
11665900,1
"6807569,",1
"6803308,",1
"9613022,",1
"6787371,",1
"6667960,",1
"6649852,",1
"6645468,",1
"6643772,",1
"6635342,",1
"6632781,",1
"6620636,",1
"6611322,",1
"6609131,",1
"5916791,",1
"7776924,",1
"8020908,",1
"6934754,",1
"7031375,",1
"6898384,",1
"5808839,",1
"6631157,",1
"3456207,",1
"7786444,",1
"8714893,",1
"8205553,",1
"6669741,",1
"6670107,",1
"6671136,",1
"6717911,",1
"6777428,",1
"6777302,",1
"6776311,",1
"6770454,",1
"6767384,",1
"6742776,",1
"6741373,",1
"6734227,",1
"6727580,",1
"6716238,",1
"6677815,",1
"6715078,",1
"6710872,",1
"6707508,",1
"6706011,",1
"6701480,",1
"6698658,",1
"6694898,",1
"6685651,",1
"6680933,",1
14908906,1
16725090,1
16688941,1
"4977086,",1
"6143427,",1
"6040536,",1
"6026754,",1
"6026194,",1
"5982120,",1
"5812038,",1
"5704779,",1
"5698948,",1
"5698346,",1
"5562456,",1
"5558139,",1
