user_id,13층,가위손,경계선,나니아 연대기 - 캐스피언 왕자,내안의 그놈,"당신, 거기 있어줄래요",드라큐라,록키 호러 픽쳐 쇼,말레피센트,메리 포핀스 리턴즈,미녀와 야수,미스 페레그린과 이상한 아이들의 집,반지의 제왕: 두 개의 탑,반지의 제왕: 반지 원정대,반지의 제왕: 왕의 귀환,벤자민 버튼의 시간은 거꾸로 간다,불청객,비밀,스타더스트,스트레인저 댄 픽션,스파이더위크가의 비밀,슬리피 할로우,신비한 동물사전,아더와 미니모이: 제1탄 비밀 원정대의 출정,"오늘 밤, 로맨스 극장에서",온워드: 단 하루의 기적,인랑,조 블랙의 사랑,존 말코비치 되기,찰리와 초콜릿 공장,천국의 우편배달부,천녀유혼,천녀유혼 2 - 인간도,천녀유혼 3 - 도도도,천년여우 여우비,캐리비안의 해적 - 망자의 함,캐리비안의 해적 - 블랙 펄의 저주,캐리비안의 해적 - 세상의 끝에서,큐브,팀 버튼의 크리스마스 악몽,판의 미로 - 오필리아와 세 개의 열쇠,해리 포터와 마법사의 돌,해리 포터와 비밀의 방,해리 포터와 아즈카반의 죄수,헝거게임: 캣칭 파이어,호빗 : 뜻밖의 여정,호빗 : 스마우그의 폐허,호빗: 다섯 군대 전투
618,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
628,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,
644,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,
652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,
658,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
665,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
677,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,
679,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,
694,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,10.0,,,,,,
703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,
724,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
