Id,woman
10341,58
144379,69
18552,
115298,57
10003,48
11295,
181286,18
18610,
32116,
11003,
10046,50
142304,43
172780,46
34522,
10018,
17440,
28677,
10600,
16217,
190244,
151106,49
36666,
38091,
139613,69
47152,
140711,45
154379,67
10072,
10061,
38227,52
10647,
10047,
171725,46
18542,
187322,61
154437,72
37486,
58088,
172174,64
57723,49
143469,71
51143,
63513,52
10561,
19335,83
11002,
134772,68
22082,
32610,
168050,58
19469,
152160,96
160135,64
138877,48
75378,80
10110,48
10688,
10669,
92075,53
24194,
31827,80
169349,79
130849,74
180361,
10039,11
63156,
18934,
34093,33
39857,
12324,
13957,
17942,40
158578,92
201898,
62329,
145736,88
173692,61
85825,84
10740,
17796,64
66801,
19527,
10071,
169348,88
17131,
87308,
135843,67
13042,
181717,84
10980,
13234,
180372,80
64128,
24008,
16487,
67696,
19521,
17685,
194463,67
31110,
10448,
143495,47
16998,
187308,43
161242,42
62265,
65463,
26333,
94594,
17997,
167699,60
10440,
47385,
71987,
137358,70
46985,
58333,
47986,
82219,
58437,
16503,
146489,75
66724,
32115,
31422,50
19031,53
100931,63
93005,43
154222,49
120788,75
17254,
16091,
17327,19
31801,62
113132,68
88473,
56083,
123688,75
37888,
180379,77
189000,50
18871,
76016,
38444,64
10004,
18531,
109905,42
150687,41
162824,59
10037,50
33410,
10282,
36565,
164290,94
45290,41
184518,63
109911,70
10050,25
180687,15
30301,
39640,69
34497,
37880,
19128,
11502,
177374,59
53158,
18173,
24830,63
19068,
155356,64
24668,
44111,
17970,58
10609,
14152,
210807,22
125417,56
10181,
68695,
69102,
156185,74
164104,84
31475,50
165461,58
24094,
10113,50
14802,62
133402,58
16172,
39813,
10006,
10019,
129802,75
11307,57
29102,
39654,
115622,70
27245,
16868,
39809,29
62266,
117787,31
16601,68
202381,
54973,
174626,
39440,59
17265,
37148,
184403,70
10630,
70910,
180169,64
36992,
122131,
85094,
10022,
18865,
53881,
17260,
38899,56
25906,
68567,42
19517,
153621,79
14012,
185282,81
13480,
76460,
60753,
45264,
10040,
10035,
17092,
36858,
